"kon-","1SG","1DU","1PL","2SG","2DU","2PL","3SG","3DU","3PL"
"IND","konün","koniyu","koniyiñ","konimi","konimu","konimün","koni","koningu","koningün"
"SBJV","konli","konliyu","konliyiñ","konülmi","konülmu","konülmün","konle","konle engu","konle engün"
"IMP","konchi",,,"konnge","konmu","konmün","konpe","konpe engu","konpe engün"

"pi-","1SG","1DU","1PL","2SG","2DU","2PL","3SG","3DU","3PL"
"IND","pin","piyu","piiñ","pimi","pimu","pimün","pi","pingu","pingün"
"SBJV","pili","piliyu","piliyiñ","pilmi","pilmu","pilmün","pile","pile engu","pile engün"
"IMP","pichi",,,"pinge","pimu","pimün","pipe","pipe engu","pipe engün"

"tripa-","1SG","1DU","1PL","2SG","2DU","2PL","3SG","3DU","3PL"
"IND","tripan","tripayu","tripaiñ","tripaymi","tripaymu","tripaymün","tripay","tripayngu","tripayngün"
"SBJV","tripali","tripaliyu","tripaliyiñ","tripalmi","tripalmu","tripalmün","tripale","tripale engu","tripale engü"
"IMP","tripachi",,,"tripange","tripamu","tripamün","tripape","tripape engu","tripape engün"
